epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,421.373,1.47654,2.69052,1.98035,1.48968,0.53611,0.42733,0.36811,0.18237,0.39422,0.49404,0.36576,0.1835,1.44947,2.82574,2.86453,1.63479,0.0011664,0.0011664,0.0011664
93,425.748,1.36653,2.577,2.09567,1.40029,0.53611,0.42733,0.36811,0.18237,0.39422,0.49404,0.36576,0.1835,1.44947,2.82574,2.86453,1.63479,0.0011609,0.0011609,0.0011609
94,430.468,1.57809,3.01702,2.12157,1.61681,0.23547,0.54925,0.3207,0.18125,0.23149,0.53863,0.31622,0.1754,1.48369,2.86801,2.5918,1.63836,0.0011554,0.0011554,0.0011554
95,434.927,1.61013,3.00351,2.31202,1.62908,0.23547,0.54925,0.3207,0.18125,0.23149,0.53863,0.31622,0.1754,1.48369,2.86801,2.5918,1.63836,0.0011499,0.0011499,0.0011499
96,439.591,1.51992,2.78564,1.82685,1.44386,0.23547,0.54925,0.3207,0.18125,0.23149,0.53863,0.31622,0.1754,1.48369,2.86801,2.5918,1.63836,0.0011444,0.0011444,0.0011444
97,444.931,1.73104,3.51813,2.07553,1.67655,0.23547,0.54925,0.3207,0.18125,0.23149,0.53863,0.31622,0.1754,1.48369,2.86801,2.5918,1.63836,0.00113889,0.00113889,0.00113889
98,449.624,1.65701,3.20715,2.19806,1.62673,0.25286,0.5155,0.30788,0.18576,0.29486,0.41085,0.32294,0.1796,1.41275,2.66404,2.29617,1.5591,0.00113339,0.00113339,0.00113339
99,454,1.51213,2.79755,2.40816,1.61371,0.25286,0.5155,0.30788,0.18576,0.29486,0.41085,0.32294,0.1796,1.41275,2.66404,2.29617,1.5591,0.00112789,0.00112789,0.00112789
100,458.594,1.60188,2.84776,2.19349,1.56923,0.25286,0.5155,0.30788,0.18576,0.29486,0.41085,0.32294,0.1796,1.41275,2.66404,2.29617,1.5591,0.00112239,0.00112239,0.00112239
101,463.113,1.69089,3.09113,2.08188,1.6567,0.25286,0.5155,0.30788,0.18576,0.29486,0.41085,0.32294,0.1796,1.41275,2.66404,2.29617,1.5591,0.00111689,0.00111689,0.00111689
102,467.819,1.73867,3.85266,2.17031,1.7038,0.35654,0.27595,0.32898,0.22043,0.30178,0.35787,0.34053,0.22152,1.33822,2.45713,2.20137,1.4833,0.00111139,0.00111139,0.00111139
103,472.411,1.52885,2.64404,2.02993,1.4696,0.35654,0.27595,0.32898,0.22043,0.30178,0.35787,0.34053,0.22152,1.33822,2.45713,2.20137,1.4833,0.00110589,0.00110589,0.00110589
104,476.886,1.682,3.68375,2.33615,1.70571,0.35654,0.27595,0.32898,0.22043,0.30178,0.35787,0.34053,0.22152,1.33822,2.45713,2.20137,1.4833,0.00110039,0.00110039,0.00110039
105,481.508,1.80992,3.41594,2.23589,1.73278,0.35654,0.27595,0.32898,0.22043,0.30178,0.35787,0.34053,0.22152,1.33822,2.45713,2.20137,1.4833,0.00109489,0.00109489,0.00109489
106,485.839,1.65235,2.88896,2.44449,1.6392,0.44202,0.31054,0.34608,0.23774,0.44202,0.31054,0.37092,0.25161,1.25917,2.30707,2.05472,1.40745,0.00108938,0.00108938,0.00108938
107,490.353,1.87171,3.48316,2.35158,1.86094,0.44202,0.31054,0.34608,0.23774,0.44202,0.31054,0.37092,0.25161,1.25917,2.30707,2.05472,1.40745,0.00108388,0.00108388,0.00108388
108,494.772,1.57796,3.20003,2.23229,1.61203,0.44202,0.31054,0.34608,0.23774,0.44202,0.31054,0.37092,0.25161,1.25917,2.30707,2.05472,1.40745,0.00107838,0.00107838,0.00107838
109,499.31,1.53507,3.27089,2.14704,1.58006,0.44202,0.31054,0.34608,0.23774,0.44202,0.31054,0.37092,0.25161,1.25917,2.30707,2.05472,1.40745,0.00107288,0.00107288,0.00107288
110,503.767,1.5753,3.23935,2.32247,1.59216,0.58528,0.3127,0.40431,0.2652,0.58528,0.3127,0.41123,0.27991,1.18841,2.1147,1.9071,1.31835,0.00106738,0.00106738,0.00106738
111,508.282,1.8121,3.2464,2.33746,1.74195,0.58528,0.3127,0.40431,0.2652,0.58528,0.3127,0.41123,0.27991,1.18841,2.1147,1.9071,1.31835,0.00106188,0.00106188,0.00106188
112,512.848,1.5747,3.13386,2.2206,1.55002,0.58528,0.3127,0.40431,0.2652,0.58528,0.3127,0.41123,0.27991,1.18841,2.1147,1.9071,1.31835,0.00105638,0.00105638,0.00105638
113,517.572,1.83713,3.83323,2.28253,1.75967,0.58528,0.3127,0.40431,0.2652,0.58528,0.3127,0.41123,0.27991,1.18841,2.1147,1.9071,1.31835,0.00105088,0.00105088,0.00105088
114,522.135,1.23055,2.50809,2.15303,1.32151,0.44915,0.52229,0.51166,0.31545,0.44915,0.52229,0.51594,0.3414,1.2224,2.03079,1.84257,1.32683,0.00104538,0.00104538,0.00104538
115,526.556,1.25999,2.55772,2.0032,1.45784,0.44915,0.52229,0.51166,0.31545,0.44915,0.52229,0.51594,0.3414,1.2224,2.03079,1.84257,1.32683,0.00103987,0.00103987,0.00103987
116,531.225,1.49822,2.89302,2.36417,1.53674,0.44915,0.52229,0.51166,0.31545,0.44915,0.52229,0.51594,0.3414,1.2224,2.03079,1.84257,1.32683,0.00103437,0.00103437,0.00103437
117,535.95,1.77013,3.41287,2.24798,1.66139,0.44915,0.52229,0.51166,0.31545,0.44915,0.52229,0.51594,0.3414,1.2224,2.03079,1.84257,1.32683,0.00102887,0.00102887,0.00102887
118,540.937,1.74881,3.31598,2.12724,1.77646,0.53081,0.55233,0.54377,0.31639,0.53081,0.55233,0.54785,0.34427,1.20409,1.98162,1.9847,1.29954,0.00102337,0.00102337,0.00102337
119,545.547,1.3527,2.40218,1.77482,1.38273,0.53081,0.55233,0.54377,0.31639,0.53081,0.55233,0.54785,0.34427,1.20409,1.98162,1.9847,1.29954,0.00101787,0.00101787,0.00101787
120,550.182,1.70277,3.30848,2.13458,1.63727,0.53081,0.55233,0.54377,0.31639,0.53081,0.55233,0.54785,0.34427,1.20409,1.98162,1.9847,1.29954,0.00101237,0.00101237,0.00101237
121,555.131,1.72295,3.29995,2.13874,1.63383,0.53081,0.55233,0.54377,0.31639,0.53081,0.55233,0.54785,0.34427,1.20409,1.98162,1.9847,1.29954,0.00100687,0.00100687,0.00100687
122,560.258,1.74337,3.37951,2.12497,1.67501,0.60323,0.61047,0.61747,0.35789,0.60323,0.61047,0.62044,0.36361,1.16642,2.00662,2.22679,1.28702,0.00100137,0.00100137,0.00100137
123,565.15,1.68029,3.17862,2.08287,1.61962,0.60323,0.61047,0.61747,0.35789,0.60323,0.61047,0.62044,0.36361,1.16642,2.00662,2.22679,1.28702,0.000995866,0.000995866,0.000995866
124,570.492,1.53688,2.89749,2.27088,1.60858,0.60323,0.61047,0.61747,0.35789,0.60323,0.61047,0.62044,0.36361,1.16642,2.00662,2.22679,1.28702,0.000990365,0.000990365,0.000990365
125,575.632,1.63504,2.93603,2.05187,1.54234,0.60323,0.61047,0.61747,0.35789,0.60323,0.61047,0.62044,0.36361,1.16642,2.00662,2.22679,1.28702,0.000984864,0.000984864,0.000984864
126,580.465,1.68024,3.30211,2.15128,1.6259,0.64726,0.64883,0.63819,0.39141,0.64726,0.64883,0.64044,0.38735,1.06549,1.88028,2.13324,1.23963,0.000979362,0.000979362,0.000979362
127,585.296,1.58531,3.18336,2.02756,1.5743,0.64726,0.64883,0.63819,0.39141,0.64726,0.64883,0.64044,0.38735,1.06549,1.88028,2.13324,1.23963,0.000973861,0.000973861,0.000973861
